candidate_key,name,locality,address,evidence_tier,current_disposition,recommended_action,requires_second_research,proposed_match_id,source_channels,source_count,recommendation_rationale,human_decision,reviewer_identifier,reviewer_note,reviewed_at
rocha:rocha-city:residencial-orquideas,Residencial Orquídeas,Rocha,Francisco de los Santos 134,B,probable_new,verified_new,false,,public_social_sources|public_maps,2,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:rocha-city:nuevo-renacer,Nuevo Renacer,Rocha,"25 de Mayo 140, esquina Treinta y Tres",C,probable_new,needs_more_evidence,true,,public_social_sources,2,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:rocha-city:hotel-asistido-region-este,Hotel Asistido Región Este,Rocha,Rincón 112,C,probable_new,needs_more_evidence,true,,public_social_sources,4,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:rocha-city:nuevo-residencial-mailuz,Nuevo Residencial MaiLuz,Rocha,19 de Abril 167,C,probable_new,needs_more_evidence,true,,public_social_sources|other_public_sources,2,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:rocha-city:hogar-alba,Hogar Alba,Rocha,"25 de Agosto 27, antes de Leonardo Olivera",C,probable_new,needs_more_evidence,true,,public_social_sources|other_public_sources,2,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:chuy:residencial-veneza,Veneza - Residencial para Adultos Mayores,Chuy,Tito Fernández 140,B,probable_new,verified_new,false,,public_social_sources,2,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:lascano:centro-residencial-bienestar,Centro Residencial Bienestar Lascano,Lascano,"18 de Julio, esquina Arigoni",B,probable_new,verified_new,false,,public_social_sources,2,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:rocha-city:las-espumillas,Las Espumillas,Rocha,José Enrique Rodó 107,C,needs_more_evidence,needs_more_evidence,true,,other_public_sources|public_maps,2,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:lascano:residencial-nuestro-camino,Residencial Nuestro Camino,Lascano,,C,address_missing,needs_more_evidence,true,,public_social_sources,1,Obtener una dirección física exacta y una fuente institucional o independiente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:cebollati:centro-residencial-bienestar,Centro Residencial Bienestar Cebollatí,Cebollatí,,C,address_missing,needs_more_evidence,true,,public_social_sources,1,Obtener una dirección física exacta y una fuente institucional o independiente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:rocha-city:residencial-san-luca,Residencial San Luca,Rocha,Ramírez 92,C,possible_move_or_rebrand,needs_more_evidence,true,,other_public_sources|official_sources,2,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:la-paloma:rincon-de-luz-carpe-diem,Carpe Diem / Rincón de Luz,La Paloma,"Avenida del Navío, entre Psisis y Leo",C,possible_move_or_rebrand,needs_more_evidence,true,,public_social_sources|other_public_sources|official_sources,3,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:castillos:hogar-dulce-compania-current-address,Hogar Dulce Compañía,Castillos,González 1226,B,possible_move_or_rebrand,needs_more_evidence,true,,other_public_sources|public_social_sources|official_sources,3,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:rocha-city:residencial-como-en-casa,Residencial Como En Casa,Rocha,19 de Abril 71,C,possible_move_or_rebrand,needs_more_evidence,true,,other_public_sources|official_sources,2,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
rocha:rocha-city:hogar-angel-modesto-delgado,Hogar de Ancianos Dr. Ángel Modesto Delgado,Rocha,Avenida Agraciada s/n,A,exclusion_index_gap,repair_exclusion_index,false,,official_sources,3,Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.,repair_exclusion_index,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T04:57:57.633Z
