candidate_key,name,locality,address,evidence_tier,current_disposition,human_decision,proposed_match_id,unresolved_reason,required_action,imported_private,public_eligible
"treinta-y-tres:paradise:manuel-calleros-249","Residencial Paradise","Treinta y Tres","Manuel Calleros 249","B","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"treinta-y-tres:los-alamos:sin-direccion","Residencial Los Álamos","Treinta y Tres","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"treinta-y-tres:las-comadres:simon-del-pino-1482","Las Comadres","Treinta y Tres","Simón del Pino 1482","C","needs_more_evidence","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"treinta-y-tres:el-remanso:manuel-oribe-1310","El Remanso","Treinta y Tres","Manuel Oribe 1310","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:la-victoria:sin-direccion","Hogar La Victoria","Treinta y Tres","","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:mi-sueno:simon-del-pino-1335","Hogar Mi Sueño","Treinta y Tres","Simón del Pino 1335","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:y-guarderia:manuel-oribe-1224","Hogar y Guardería Geriátrica","Treinta y Tres","Manuel Oribe 1224","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:los-abuelos:simon-del-pino-1055","Los Abuelos","Treinta y Tres","Simón del Pino 1055","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:magdalena:juan-ortiz-1528","Magdalena","Treinta y Tres","Juan Ortiz 1528","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:ramos-y-rosas:avelino-miranda-1236","Ramos y Rosas","Treinta y Tres","Avelino Miranda 1236","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:adulto-mayor:manuel-melendez-y-simon-del-pino","Residencial Adulto Mayor","Treinta y Tres","Manuel Meléndez y Simón del Pino","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:sin-nombre-ramon-ortiz-315:ramon-ortiz-315","Residencial sin nombre — Ramón Ortiz 315","Treinta y Tres","Ramón Ortiz 315","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:sin-nombre-zona-el-verde-alto:ruta-98-zona-el-verde-alto-s-n","Residencial sin nombre — Zona El Verde Alto","Treinta y Tres","Ruta 98, Zona El Verde Alto s/n","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:rincon-de-luz:juan-antonio-lavalleja-968","Rincón de Luz","Treinta y Tres","Juan Antonio Lavalleja 968","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"treinta-y-tres:sol-y-luna:valentin-olivera-ortiz-2008","Sol y Luna","Treinta y Tres","Valentín Olivera Ortiz 2008","A","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
