candidate_key,name,locality,address,evidence_tier,current_disposition,recommended_action,requires_second_research,proposed_match_id,source_channels,source_count,recommendation_rationale,human_decision,reviewer_identifier,reviewer_note,reviewed_at
treinta-y-tres:paradise:manuel-calleros-249,Residencial Paradise,Treinta y Tres,Manuel Calleros 249,B,possible_move_or_rebrand,needs_more_evidence,true,,social_public|other_public,3,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",,,,
treinta-y-tres:los-alamos:sin-direccion,Residencial Los Álamos,Treinta y Tres,,C,address_missing,needs_more_evidence,true,,social_public|other_public,4,Obtener una dirección física exacta y una fuente institucional o independiente.,,,,
treinta-y-tres:las-comadres:simon-del-pino-1482,Las Comadres,Treinta y Tres,Simón del Pino 1482,C,needs_more_evidence,needs_more_evidence,true,,other_public,1,La evidencia C no permite verificar la pista como nueva o coincidente.,,,,
treinta-y-tres:bienestar:sarandi-1346,Geriátrico Bienestar,Treinta y Tres,Sarandí 1346,B,probable_new,verified_new,false,,official|social_public,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,,,,
treinta-y-tres:de-ancianos-de-cerro-chato:ruta-7-km-250,Hogar de Ancianos de Cerro Chato,Cerro Chato,Ruta 7 km 250,A,probable_new,verified_new,false,,other_public|official,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,,,,
treinta-y-tres:de-ancianos-de-santa-clara-de-olimar:19-de-abril-s-n,Hogar de Ancianos de Santa Clara de Olimar,Santa Clara de Olimar,19 de Abril s/n,B,probable_new,verified_new,false,,other_public,4,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,,,,
treinta-y-tres:de-ancianos-de-treinta-y-tres:jose-enrique-rodo-1437,Hogar de Ancianos de Treinta y Tres,Treinta y Tres,José Enrique Rodó 1437,A,probable_new,verified_new,false,,official|other_public|social_public,4,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,,,,
treinta-y-tres:de-ancianos-vergara-siglo-xxi:padrones-86-y-1322-vergara,Hogar de Ancianos Vergara Siglo XXI,Vergara,"Padrones 86 y 1322, Vergara",B,probable_new,verified_new,false,,other_public,4,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,,,,
treinta-y-tres:el-amanecer:dionisio-oribe-1517,Hogar El Amanecer,Treinta y Tres,Dionisio Oribe 1517,B,probable_new,verified_new,false,,official|social_public,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,,,,
treinta-y-tres:dona-aurelia:manuel-freire-1864,Residencial Doña Aurelia,Treinta y Tres,Manuel Freire 1864,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0809,other_public|official,3,Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.,,,,
