candidate_key,name,locality,address,evidence_tier,current_disposition,recommended_action,requires_second_research,proposed_match_id,source_channels,source_count,recommendation_rationale,human_decision,reviewer_identifier,reviewer_note,reviewed_at
canelones:canelones:reina-de-las-flores,Residencial Reina de las Flores,Canelones,Camino Las Violetas,C,probable_new,needs_more_evidence,true,,other_public_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:canelones:el-bienestar,El Bienestar Hogar Canelones,Canelones,Treinta y Tres 692,C,probable_new,needs_more_evidence,true,,other_public_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:canelones:el-ombu,Residencial El Ombú,Canelones,"Camino Las Violetas, zona CMWW+7M5",B,probable_new,verified_new,false,,public_social_sources|public_maps,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:las-piedras:golden-age,Golden Age Residencial,Las Piedras,Wilson Ferreira Aldunate 804,C,probable_new,needs_more_evidence,true,,other_public_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:la-paz:jireh,Residencial Jireh,La Paz,Gutiérrez 87,C,probable_new,needs_more_evidence,true,,other_public_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:juanico:casona-de-retiro,Casona de Retiro,Juanicó,Ruta 5 km 37.800 y San Marcos,C,probable_new,needs_more_evidence,true,,other_public_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:sauce:la-rosada,Residencial La Rosada,Sauce,Camino Tomás Berreta km 30.500,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,2,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:pando:lo-de-mama-1,Residencial Lo de Mamá,Pando,"Continuación 18 de Julio 1416, entre Salvador de Marchi y Marconi",C,probable_new,needs_more_evidence,true,,other_public_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:pando:lo-de-mama-2,Residencial Lo de Mamá 2,Pando,Piovene 1158,C,probable_new,needs_more_evidence,true,,other_public_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:pando:felipe-martinez,Residencial Felipe Martínez,Pando,Dr. César Piovene 1085,B,probable_new,verified_new,false,,public_social_sources|other_public_sources,2,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:barros-blancos:vidal-y-cia,Residencial Vidal y Cía,Barros Blancos,"Ruta 8 km 26, calle Cerro Largo 58",C,probable_new,needs_more_evidence,true,,other_public_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:pando:mi-nueva-familia,Mi Nueva Familia,Pando,Correch 1025,C,probable_new,needs_more_evidence,true,,other_public_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:lagomar:boutique-colibri,Residencial Boutique Colibrí,Lagomar,Gestido M2 S4,B,probable_new,verified_new,false,,other_public_sources,2,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
canelones:lomas:historias-de-otono,Historias de Otoño,Lomas de Solymar,"Solanas M305 S29, entre Amelia Ramírez y Bolina",C,probable_new,needs_more_evidence,true,,other_public_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T05:26:29.709Z
