candidate_key,name,locality,address,evidence_tier,current_disposition,recommended_action,requires_second_research,proposed_match_id,source_channels,source_count,recommendation_rationale,human_decision,reviewer_identifier,reviewer_note,reviewed_at
tacuarembo:tacuavida:doctor-elias-abdo-259,Tacuavida,Tacuarembó,Dr. Elías Abdo 259,B,probable_new,verified_new,false,,other_public|social_public|public_maps,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:23:18.307Z
tacuarembo:residencial-ipora:calle-9-y-18,Residencial Iporá,Balneario Iporá,Calle 9 y Calle 18,C,probable_new,needs_more_evidence,true,,other_public,2,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:23:18.307Z
tacuarembo:residencial-alhoa:treinta-y-tres-164,Residencial Alhoa,Tacuarembó,Treinta y Tres 164,B,probable_new,verified_new,false,,social_public,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:23:18.307Z
tacuarembo:las-mariposas:18-de-julio-87,Las Mariposas Residencial Boutique,Tacuarembó,18 de Julio 87,B,probable_new,verified_new,false,,other_public|social_public,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:23:18.307Z
tacuarembo:residencial-vida-feliz:antonio-chiesa-olivera-n10,Residencial Vida Feliz,Tacuarembó,Antonio Chiesa Olivera N.º 10,C,probable_new,needs_more_evidence,true,,other_public,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:23:18.307Z
tacuarembo:residencial-san-agustin:paula-bermudez-de-godoy-267,Residencial San Agustín,Paso de los Toros,Paula Bermúdez de Godoy 267,B,probable_new,verified_new,false,,other_public,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:23:18.307Z
tacuarembo:residencial-los-jazmines:gral-rivera-199,Residencial Los Jazmines,Tacuarembó,Gral. Fructuoso Rivera 199,C,probable_new,needs_more_evidence,true,,social_public,3,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:23:18.307Z
tacuarembo:residencial-nuevo-amanecer:henry-dunant-414,Residencial Nuevo Amanecer,Tacuarembó,Henry Dunant 414,C,possible_move_or_rebrand,needs_more_evidence,true,,social_public|other_public,2,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:23:18.307Z
tacuarembo:casa-las-violetas:bulevar-artigas-152,Casa Las Violetas,Paso de los Toros,Bulevar Artigas 152,B,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0806,other_public,2,Duplicado confirmado de Residencial Las Violetas; vincular al registro canónico sin crear otro punto.,link_existing_after_id_resolution,project_owner,Duplicado confirmado por la persona responsable del proyecto; conservar una sola entidad canónica.,2026-08-05T01:23:18.307Z
tacuarembo:segundo-marisel:direccion-no-identificada,Segundo Marisel,Tacuarembó,,C,possible_move_or_rebrand,needs_more_evidence,true,,other_public,1,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:23:18.307Z
