candidate_key,name,locality,address,evidence_tier,current_disposition,human_decision,proposed_match_id,unresolved_reason,required_action,imported_private,public_eligible
"canelones:canelones:reina-de-las-flores","Residencial Reina de las Flores","Canelones","Camino Las Violetas","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:canelones:el-bienestar","El Bienestar Hogar Canelones","Canelones","Treinta y Tres 692","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:las-piedras:golden-age","Golden Age Residencial","Las Piedras","Wilson Ferreira Aldunate 804","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:la-paz:jireh","Residencial Jireh","La Paz","Gutiérrez 87","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:juanico:casona-de-retiro","Casona de Retiro","Juanicó","Ruta 5 km 37.800 y San Marcos","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:pando:lo-de-mama-1","Residencial Lo de Mamá","Pando","Continuación 18 de Julio 1416, entre Salvador de Marchi y Marconi","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:pando:lo-de-mama-2","Residencial Lo de Mamá 2","Pando","Piovene 1158","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:barros-blancos:vidal-y-cia","Residencial Vidal y Cía","Barros Blancos","Ruta 8 km 26, calle Cerro Largo 58","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:pando:mi-nueva-familia","Mi Nueva Familia","Pando","Correch 1025","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"canelones:lomas:historias-de-otono","Historias de Otoño","Lomas de Solymar","Solanas M305 S29, entre Amelia Ramírez y Bolina","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
