candidate_key,name,locality,address,evidence_tier,current_disposition,recommended_action,requires_second_research,proposed_match_id,source_channels,source_count,recommendation_rationale,human_decision,reviewer_identifier,reviewer_note,reviewed_at
durazno:calas-hogar:herrera-948,Calas Hogar,Durazno,"Herrera 948, esquina Baltasar Brum",B,probable_new,verified_new,false,,social_public,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:residencial-shalom:zorrilla-618,Residencial Shalom,Durazno,Zorrilla 618,B,probable_new,verified_new,false,,other_public|social_public,2,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:hogar-amaneciendo:blanquillo-calle-artigas-frente-ose,Hogar Amaneciendo,Blanquillo,"Calle Artigas, frente a OSE",B,probable_new,verified_new,false,,other_public,2,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:centro-de-cuidados-amelia:address-missing,Centro de Cuidados Amelia,Durazno,,C,address_missing,needs_more_evidence,true,,social_public,2,Obtener una dirección física exacta y una fuente institucional o independiente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:hogar-los-abuelos:address-missing,Hogar Los Abuelos,Durazno,,B,address_missing,needs_more_evidence,true,,other_public,2,Obtener una dirección física exacta y una fuente institucional o independiente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:la-aurora:zorrilla-545,La Aurora,Durazno,"Zorrilla 545, casi Rubino",C,needs_more_evidence,needs_more_evidence,true,EXC-OFFICIAL-ELP-0042,other_public,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:residencial-tu-hogar:25-de-agosto-935,Residencial Tu Hogar,Durazno,"25 de Agosto 935, entre Artigas y Baltasar Brum",B,possible_move_or_rebrand,needs_more_evidence,true,EXC-OFFICIAL-ELP-0153,other_public|official,2,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:dona-ines-el-bienestar:18-de-julio-540,Residencial Doña Inés / El Bienestar Hogar Durazno,Durazno,"18 de Julio 540, esquina Zorrilla",C,possible_move_or_rebrand,needs_more_evidence,true,,other_public,2,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:sagrada-familia-hipodromo:sagrado-corazon,Residencial Sagrada Familia Hipódromo,Durazno,"Calle pública, frente al 1100 de la pista del Hipódromo",B,possible_move_or_rebrand,needs_more_evidence,true,EXC-OFFICIAL-ELP-0161,other_public,3,"Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.",needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:reino-reina-de-las-flores:wilson-ferreira-696,Residencial Reino de las Flores,Durazno,"Wilson Ferreira Aldunate 696, casi Arrospide",B,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0160,other_public|official,2,Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:hogar-de-ancianos:maciel-505-osm,Hogar de Ancianos — pista OSM Maciel 505,Durazno,Francisco Antonio Maciel 505,C,probable_new,needs_more_evidence,true,EXC-OFFICIAL-ELP-0149,public_maps|other_public|official,3,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:green-house:batalla-de-las-piedras-232,Green House,Durazno,Batalla de las Piedras 232,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0150,other_public|official,2,Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:hostal-la-vida-es-bella:herrera-1118,Hostal La Vida Es Bella,Durazno,Luis Alberto de Herrera 1118,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0152,official|other_public,2,Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:comision-pro-ayuda-anciano:maciel-630,Comisión Pro Ayuda al Anciano de Durazno,Durazno,Maciel 630,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0149,official|other_public,2,Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:residencial-san-cayetano:batalla-piedras-sarandi,Residencial San Cayetano,Durazno,Batalla de las Piedras y Batalla de Sarandí,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0162,official|other_public,3,Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:hogar-ancianos-sarandi-del-yi:av-petrini-535,Hogar de Ancianos de Sarandí del Yí,Sarandí del Yí,Av. Petrini 535,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0151,official,1,Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:residencial-don-eduardo:sarandi-del-yi,Residencial Don Eduardo,Sarandí del Yí,Rincón esquina Batlle,B,probable_known_match,link_existing_after_id_resolution,false,EXC-LEGACY-MSPREG24-028,other_public|social_public,2,Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:residencial-tea-garden:zorrilla-947,Residencial Tea Garden,Durazno,Zorrilla 947,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0164,official,1,Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:tea-garden-2:penza-951,Tea Garden 2,Durazno,Penza 951 y Baltasar Brum,A,probable_known_match,link_existing_after_id_resolution,false,EXC-LEGACY-MSP24-183,official,3,Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
durazno:blanca-lila:larranaga-907,Blanca Lila,Durazno,Larrañaga 907,A,historical_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0148,official,1,La referencia es exclusivamente histórica y coincide con una sede conocida; vincular la observación sin crear un candidato actual.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-05T01:03:11.124Z
