candidate_key,name,locality,address,evidence_tier,current_disposition,human_decision,proposed_match_id,unresolved_reason,required_action,imported_private,public_eligible
"rocha:rocha-city:nuevo-renacer","Nuevo Renacer","Rocha","25 de Mayo 140, esquina Treinta y Tres","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"rocha:rocha-city:hotel-asistido-region-este","Hotel Asistido Región Este","Rocha","Rincón 112","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"rocha:rocha-city:nuevo-residencial-mailuz","Nuevo Residencial MaiLuz","Rocha","19 de Abril 167","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"rocha:rocha-city:hogar-alba","Hogar Alba","Rocha","25 de Agosto 27, antes de Leonardo Olivera","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"rocha:rocha-city:las-espumillas","Las Espumillas","Rocha","José Enrique Rodó 107","C","needs_more_evidence","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"rocha:lascano:residencial-nuestro-camino","Residencial Nuestro Camino","Lascano","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"rocha:cebollati:centro-residencial-bienestar","Centro Residencial Bienestar Cebollatí","Cebollatí","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"rocha:rocha-city:residencial-san-luca","Residencial San Luca","Rocha","Ramírez 92","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"rocha:la-paloma:rincon-de-luz-carpe-diem","Carpe Diem / Rincón de Luz","La Paloma","Avenida del Navío, entre Psisis y Leo","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"rocha:castillos:hogar-dulce-compania-current-address","Hogar Dulce Compañía","Castillos","González 1226","B","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"rocha:rocha-city:residencial-como-en-casa","Residencial Como En Casa","Rocha","19 de Abril 71","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"rocha:rocha-city:hogar-angel-modesto-delgado","Hogar de Ancianos Dr. Ángel Modesto Delgado","Rocha","Avenida Agraciada s/n","A","exclusion_index_gap","repair_exclusion_index","","Las fuentes oficiales indican una sede conocida que falta en el índice; no debe tratarse como descubrimiento nuevo.","repair_exclusion_index","false","false"
"rocha:chuy:hogar-de-ancianos-del-chuy","Hogar de Ancianos del Chuy","Chuy","León Ventura / Ruta 19 193","A","probable_known_match","link_existing_after_id_resolution","EXC-CANDIDATE-52DB8EDE00BCA13D","Existe una referencia explícita en el índice; resolver el ID canónico antes de vincular.","link_existing_after_id_resolution","false","false"
