candidate_key,name,locality,address,evidence_tier,current_disposition,human_decision,proposed_match_id,unresolved_reason,required_action,imported_private,public_eligible
"tacuarembo:residencial-ipora:calle-9-y-18","Residencial Iporá","Balneario Iporá","Calle 9 y Calle 18","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"tacuarembo:residencial-vida-feliz:antonio-chiesa-olivera-n10","Residencial Vida Feliz","Tacuarembó","Antonio Chiesa Olivera N.º 10","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"tacuarembo:residencial-los-jazmines:gral-rivera-199","Residencial Los Jazmines","Tacuarembó","Gral. Fructuoso Rivera 199","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"tacuarembo:residencial-nuevo-amanecer:henry-dunant-414","Residencial Nuevo Amanecer","Tacuarembó","Henry Dunant 414","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"tacuarembo:segundo-marisel:direccion-no-identificada","Segundo Marisel","Tacuarembó","","C","possible_move_or_rebrand","needs_more_evidence","","Resolver continuidad, mudanza, cambio de operador o reutilización del domicilio.","needs_more_evidence","true","false"
"tacuarembo:tacuavida-plus:direccion-no-identificada","Tacuavida Plus","Tacuarembó","","B","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"tacuarembo:hogar-casa-de-la-caridad:ansina-direccion-no-identificada","Hogar de Ancianos Casa de la Caridad","Ansina","","C","address_missing","needs_more_evidence","","Obtener una dirección física exacta y una fuente institucional o independiente.","needs_more_evidence","true","false"
"tacuarembo:hogar-ancianos-san-gregorio:predio-lindero-hospital","Hogar de Ancianos de San Gregorio de Polanco","San Gregorio de Polanco","Predio lindero al Hospital de San Gregorio","B","needs_more_evidence","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"tacuarembo:historical:mis-abuelos","Residencial Mis Abuelos","Tacuarembó","","C","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"tacuarembo:historical:mi-sueno","Residencial Mi Sueño","Tacuarembó","","C","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"tacuarembo:historical:santa-isabel","Residencial Santa Isabel","Tacuarembó","","C","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"tacuarembo:historical:sandra-nunez","Residencial Sandra Núñez","Tacuarembó","","C","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"tacuarembo:historical:sandra-soca","Residencial Sandra Soca","Tacuarembó","","C","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"tacuarembo:historical:alma-mia","Residencial Alma Mía","Tacuarembó","","C","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
"tacuarembo:historical:los-patitos","Residencial Los Patitos","San Gregorio de Polanco","","C","historical_unresolved","needs_more_evidence","","La referencia es exclusivamente histórica y no permite afirmar actividad actual ni resolver una sede conocida.","needs_more_evidence","true","false"
