candidate_key,name,locality,address,evidence_tier,current_disposition,recommended_action,requires_second_research,proposed_match_id,source_channels,source_count,recommendation_rationale,human_decision,reviewer_identifier,reviewer_note,reviewed_at
instagram:paysandu:hogar-emanuel,Hogar Emanuel,Paysandú,Sarandí 1192,C,probable_new,needs_more_evidence,true,,public_social_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:lore-car,Residencia Lore&Car,Paysandú,"Ituzaingó 1308, esquina Vizconde de Mauá",C,probable_known_match,link_existing_after_id_resolution,false,EXC-LEGACY-APP-F50F63C7F0151126,public_social_sources,1,El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:maria-carolina,Residencia María Carolina,Paysandú,Bulevar Artigas 2800,C,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0720,public_social_sources,1,El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:como-en-casa:uruguay-1896,Como en Casa - Casa 1,Paysandú,Uruguay 1896,C,probable_new,needs_more_evidence,true,,public_social_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:como-en-casa:bulevar-artigas-1237,Como en Casa - Casa 2,Paysandú,Avenida Bulevar Artigas 1237,C,probable_new,needs_more_evidence,true,,public_social_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:bellanova,Residencia Bellanova,Paysandú,,C,probable_new,needs_more_evidence,true,,public_social_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:colibri,Residencial Colibrí de Adultos y Adultos Mayores,Paysandú,Avenida Italia 2334,C,probable_known_match,link_existing_after_id_resolution,false,EXC-LEGACY-APP-EEA7F13CD1313782,public_social_sources|other_public_sources|public_maps,3,El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:mi-sueno,Hogar Mi Sueño,Paysandú,33 Orientales 974,C,probable_new,needs_more_evidence,true,,public_social_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:casa-betel,Casa Betel,San Félix,,C,probable_new,needs_more_evidence,true,,public_social_sources,1,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:santa-lucia,Residencia del Adulto Mayor Santa Lucía,Paysandú,Montecaseros 1028,C,needs_more_evidence,needs_more_evidence,true,EXC-LEGACY-APP-FF7E9EE3A025744E,public_social_sources|official_sources,2,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:san-cono,Residencia San Cono,Paysandú,Zorrilla de San Martín 1341,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0721,public_social_sources|official_sources,2,El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:carpe-diem,Carpe Diem,Paysandú,Montecaseros 785,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0713,public_social_sources|official_sources,2,El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:enrique-chaplin,Hogar de Ancianos Enrique Chaplin,Paysandú,Enrique Chaplin 728,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0717,public_social_sources|official_sources,2,El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
instagram:paysandu:casa-provenza,Casa Provenza,Paysandú,Avenida Soriano 1117,A,probable_known_match,link_existing_after_id_resolution,false,EXC-OFFICIAL-ELP-0715,public_social_sources|other_public_sources|official_sources,3,El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.,link_existing_after_id_resolution,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:09:34.648Z
