candidate_key,name,locality,address,evidence_tier,current_disposition,human_decision,proposed_match_id,unresolved_reason,required_action,imported_private,public_eligible
"instagram:paysandu:hogar-emanuel","Hogar Emanuel","Paysandú","Sarandí 1192","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"instagram:paysandu:lore-car","Residencia Lore&Car","Paysandú","Ituzaingó 1308, esquina Vizconde de Mauá","C","probable_known_match","link_existing_after_id_resolution","EXC-LEGACY-APP-F50F63C7F0151126","El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.","link_existing_after_id_resolution","false","false"
"instagram:paysandu:maria-carolina","Residencia María Carolina","Paysandú","Bulevar Artigas 2800","C","probable_known_match","link_existing_after_id_resolution","EXC-OFFICIAL-ELP-0720","El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.","link_existing_after_id_resolution","false","false"
"instagram:paysandu:como-en-casa:uruguay-1896","Como en Casa - Casa 1","Paysandú","Uruguay 1896","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"instagram:paysandu:como-en-casa:bulevar-artigas-1237","Como en Casa - Casa 2","Paysandú","Avenida Bulevar Artigas 1237","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"instagram:paysandu:bellanova","Residencia Bellanova","Paysandú","","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"instagram:paysandu:colibri","Residencial Colibrí de Adultos y Adultos Mayores","Paysandú","Avenida Italia 2334","C","probable_known_match","link_existing_after_id_resolution","EXC-LEGACY-APP-EEA7F13CD1313782","El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.","link_existing_after_id_resolution","false","false"
"instagram:paysandu:mi-sueno","Hogar Mi Sueño","Paysandú","33 Orientales 974","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"instagram:paysandu:casa-betel","Casa Betel","San Félix","","C","probable_new","needs_more_evidence","","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"instagram:paysandu:santa-lucia","Residencia del Adulto Mayor Santa Lucía","Paysandú","Montecaseros 1028","C","needs_more_evidence","needs_more_evidence","EXC-LEGACY-APP-FF7E9EE3A025744E","La evidencia C no permite verificar la pista como nueva o coincidente.","needs_more_evidence","true","false"
"instagram:paysandu:san-cono","Residencia San Cono","Paysandú","Zorrilla de San Martín 1341","A","probable_known_match","link_existing_after_id_resolution","EXC-OFFICIAL-ELP-0721","El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.","link_existing_after_id_resolution","false","false"
"instagram:paysandu:carpe-diem","Carpe Diem","Paysandú","Montecaseros 785","A","probable_known_match","link_existing_after_id_resolution","EXC-OFFICIAL-ELP-0713","El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.","link_existing_after_id_resolution","false","false"
"instagram:paysandu:enrique-chaplin","Hogar de Ancianos Enrique Chaplin","Paysandú","Enrique Chaplin 728","A","probable_known_match","link_existing_after_id_resolution","EXC-OFFICIAL-ELP-0717","El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.","link_existing_after_id_resolution","false","false"
"instagram:paysandu:casa-provenza","Casa Provenza","Paysandú","Avenida Soriano 1117","A","probable_known_match","link_existing_after_id_resolution","EXC-OFFICIAL-ELP-0715","El matching encontró una coincidencia fuerte; confirmar el ID canónico antes de vincular.","link_existing_after_id_resolution","false","false"
