candidate_key,name,locality,address,evidence_tier,current_disposition,recommended_action,requires_second_research,proposed_match_id,source_channels,source_count,recommendation_rationale,human_decision,reviewer_identifier,reviewer_note,reviewed_at
montevideo:residencial-abril:juan-manuel-blanes-1037,Residencial Abril,Montevideo,Juan Manuel Blanes 1037,B,probable_new,verified_new,false,,other_public_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-alma-amor-y-vida:javier-de-viana-2350,"Residencial Alma, Amor y Vida",Montevideo,Javier de Viana 2350,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-ambar:mariano-uriarte-6050,Residencial Ámbar,Montevideo,Mariano Uriarte 6050,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,2,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:casa-yordan:guillermo-arrospide-5398,Casa Yordan,Montevideo,Guillermo Arrospide 5398,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:centro-del-adulto-mayor-carrasco:almirante-harwood-6346,Centro del Adulto Mayor Carrasco,Montevideo,Almirante Harwood 6346,C,probable_new,needs_more_evidence,true,,other_public_sources,2,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:centro-del-adulto-mayor-buceo:juan-m-espinosa-1369,Centro del Adulto Mayor Buceo,Montevideo,Juan M. Espinosa 1369,C,probable_new,needs_more_evidence,true,,other_public_sources,2,La evidencia C no permite verificar la pista como nueva o coincidente.,needs_more_evidence,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-flor-de-liz:bulevar-espana-2647,Residencial Flor de Liz,Montevideo,Bulevar España 2647,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-gema-juncal:calderon-de-la-barca-1867,Residencial Gema Juncal,Montevideo,Calderón de la Barca 1867,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-indigo:av-rivera-3218,Residencial Índigo,Montevideo,Av. Rivera 3218,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-infinito:cooper-2446,Residencial Infinito,Montevideo,Cooper 2446,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-jardin-del-sol:general-pagola-2042,Residencial Jardín del Sol,Montevideo,General Pagola 2042,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:la-casa-de-san-marino:san-marino-1320,La Casa de San Marino,Montevideo,San Marino 1320,B,probable_new,verified_new,false,,other_public_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-la-foret-carrasco:raul-montero-bustamante-6235,Residencial La Forêt - Carrasco,Montevideo,Raúl Montero Bustamante 6235,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-los-jacintos:av-gral-rivera-6269,Residencial Los Jacintos,Montevideo,Av Gral Rivera 6269,B,probable_new,verified_new,false,,other_public_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-manantiales:cagancha-2314,Residencial Manantiales,Montevideo,Cagancha 2314,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-mazel-tov:juan-ramon-gomez-2633-bis,Residencial Mazel Tov,Montevideo,Juan Ramón Gomez 2633 Bis,B,probable_new,verified_new,false,,other_public_sources|public_social_sources,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-pontevedra:blandengues-1915,Residencial Pontevedra,Montevideo,Blandengues 1915,B,probable_new,verified_new,false,,other_public_sources|public_maps,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:hogar-santa-isabel:luis-alberto-de-herrera-2229,Hogar Santa Isabel,Montevideo,Luis Alberto de Herrera 2229,B,probable_new,verified_new,false,,other_public_sources,2,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
montevideo:residencial-sueno-azul:francisco-simon-2214,Residencial Sueño Azul,Montevideo,Francisco Simón 2214,B,probable_new,verified_new,false,,other_public_sources|public_maps,3,La pista tiene evidencia A/B y no presenta una coincidencia fuerte; requiere confirmación humana final.,verified_new,project_owner,Recomendación conservadora aceptada explícitamente por la persona responsable del proyecto.,2026-08-04T18:10:35.064Z
